pathogen,drug,mechanism,gene,description,evidence,paper_title,authors,year,doi
Klebsiella pneumoniae,Meropenem,Drug inactivation,blaKPC,KPC carbapenemases hydrolyze carbapenem antibiotics and can substantially reduce their antibacterial activity,High,"KPC-mediated resistance in Klebsiella pneumoniae in two hospitals in Padua, Italy, June 2009-December 2011: massive spreading of a KPC-3-encoding plasmid and involvement of non-intensive care units","Richter, S. N., Frasson, I., Franchin, E., Bergo, C., Lavezzo, E., Barzon, L., Cavallaro, A., & Palù, G.",2012,https://doi.org/10.1186/1757-4749-4-7
Klebsiella pneumoniae,Meropenem,Drug inactivation,blaNDM,NDM metallo-beta-lactamases hydrolyze beta-lactam antibiotics including carbapenems,High,"New Delhi Metallo-β-Lactamase-Mediated Carbapenem Resistance: Origin, Diagnosis, Treatment and Public Health Concern","Wei, W. J., Yang, H. F., Ye, Y., & Li, J. B.",2015,https://doi.org/10.4103/0366-6999.160566
Klebsiella pneumoniae,Meropenem,Drug inactivation,blaOXA-48,"OXA-48 is a class D carbapenemase that hydrolyzes carbapenems via a serine active site and confers resistance to imipenem, meropenem, ertapenem and doripenem while retaining penicillinase activity",High,Structural and Functional Characterization of OXA-48: Insight into Mechanism and Structural Basis of Substrate Recognition and Specificity,"Chiou, J., Cheng, Q., Shum, P. T., Wong, M. H., Chan, E. W., & Chen, S.",2021,https://doi.org/10.3390/ijms222111480
Klebsiella pneumoniae,Meropenem,Reduced permeability,ompK35,"Insertional inactivation or loss of the OmpK35 porin reduces outer-membrane permeability to beta-lactams including carbapenems, and combined with beta-lactamase production contributes to carbapenem resistance",High,"High-Level Carbapenem Resistance in a Klebsiella pneumoniae Clinical Isolate Is Due to the Combination of blaACT-1 Beta-Lactamase Production, Porin OmpK35/36 Insertional Inactivation, and Down-Regulation of the Phosphate Transport Porin PhoE","Doumith, M., Ellington, M. J., Livermore, D. M., & Woodford, N.",2009,https://doi.org/10.1128/aac.00285-06
Klebsiella pneumoniae,Meropenem,Reduced permeability,ompK36,"A di-amino acid (Gly-Asp) insertion into loop 3 of OmpK36 constricts the porin channel and, together with KPC-2 production, produces up to a 16-fold increase in meropenem MIC",High,OmpK36-mediated Carbapenem resistance attenuates ST258 Klebsiella pneumoniae in vivo,"Wong, J. L. C., Romano, M., Kerry, L. E., Kwong, H. S., Low, W. W., Brett, S. J., Clements, A., Beis, K., & Frankel, G.",2019,https://doi.org/10.1038/s41467-019-11756-y
Pseudomonas aeruginosa,Ciprofloxacin,Target modification,gyrA,A Thr-83-to-Ile substitution in the quinolone resistance-determining region of GyrA (DNA gyrase) is the principal single mutation associated with reduced ciprofloxacin susceptibility,High,Mutations in the gyrA and parC genes in fluoroquinolone-resistant clinical isolates of Pseudomonas aeruginosa,"Nakano, M., Deguchi, T., Kawamura, T., Yasuda, M., Kimura, M., Okano, Y., & Kawada, Y.",1997,https://doi.org/10.1128/aac.41.10.2289
Pseudomonas aeruginosa,Ciprofloxacin,Target modification,parC,"Additional mutations in ParC (topoisomerase IV), most commonly Ser-87-to-Leu, act together with GyrA mutations to produce high-level fluoroquinolone resistance",High,Type II Topoisomerase Mutations in Fluoroquinolone-Resistant Clinical Strains of Pseudomonas aeruginosa Isolated in 1998 and 1999: Role of Target Enzyme in Mechanism of Fluoroquinolone Resistance,"Akasaka, T., Tanaka, M., Yamaguchi, A., & Sato, K.",2001,https://doi.org/10.1128/aac.45.8.2263-2268.2001
Pseudomonas aeruginosa,Ciprofloxacin,Efflux,mexAB-oprM,"The constitutively expressed MexAB-OprM tripartite RND efflux pump exports fluoroquinolones and other antibiotics across both bacterial membranes, and its overexpression reduces intracellular drug concentration",High,Structures of the wild-type MexAB-OprM tripartite pump reveal its complex formation and drug efflux mechanism,"Tsutsumi, K., Yonehara, R., Ishizaka-Ikeda, E., Miyazaki, N., Maeda, S., Iwasaki, K., Nakagawa, A., & Yamashita, E.",2019,https://doi.org/10.1038/s41467-019-09463-9
Acinetobacter baumannii,Colistin,Lipid A modification,pmrAB,"Mutations in the PmrAB two-component regulatory system constitutively activate pmrCAB transcription and drive phosphoethanolamine addition to lipid A at the 4'-phosphate group, reducing colistin binding",High,Resistance to Colistin in Acinetobacter baumannii Associated with Mutations in the PmrAB Two-Component System,"Adams, M. D., Nickel, G. C., Bajaksouzian, S., Lavender, H., Murthy, A. R., Jacobs, M. R., & Bonomo, R. A.",2009,https://doi.org/10.1128/AAC.00284-09
Acinetobacter baumannii,Colistin,LPS modification,lpxACD,"Mutations in the lipid A biosynthesis genes lpxA, lpxC, or lpxD (frameshifts, insertions, or premature stop codons) can cause complete loss of lipopolysaccharide production, abolishing the colistin binding target",High,Colistin Resistance in Acinetobacter baumannii Is Mediated by Complete Loss of Lipopolysaccharide Production,"Moffatt, J. H., Harper, M., Harrison, P., Hale, J. D., Vinogradov, E., Seemann, T., Henry, R., Crane, B., St Michael, F., Cox, A. D., Adler, B., Nation, R. L., Li, J., & Boyce, J. D.",2010,https://doi.org/10.1128/AAC.00834-10
Staphylococcus aureus,Methicillin,Target modification,mecA,"mecA encodes the alternative penicillin-binding protein PBP2a, which has low affinity for beta-lactam antibiotics and can substitute for native PBPs to continue peptidoglycan cross-linking when they are inhibited",High,Genetic basis of methicillin resistance in Staphylococcus aureus,"Berger-Bachi, B., & Rohrer, S.",1999,https://doi.org/10.1007/s000180050023
Enterococcus faecium,Vancomycin,Target modification,vanA,"VanA-type resistance replaces the D-Ala-D-Ala terminus of peptidoglycan precursors with D-Ala-D-lactate, eliminating a key hydrogen bond and lowering vancomycin binding affinity by more than 1,000-fold",High,The molecular basis of vancomycin resistance in clinically relevant Enterococci: Crystal structure of D-alanyl-D-lactate ligase (VanA),"Roper, D. I., Huyton, T., Vagin, A., & Dodson, G.",2000,https://doi.org/10.1073/pnas.150116497
Enterobacter cloacae,Ceftriaxone,Drug inactivation,blaCTX-M,"CTX-M extended-spectrum beta-lactamases are class A serine enzymes that efficiently hydrolyze oxyimino-cephalosporins such as cefotaxime and ceftriaxone, conferring resistance that is inhibited by clavulanic acid",High,Growing Group of Extended-Spectrum Beta-Lactamases: the CTX-M Enzymes,"Bonnet, R.",2004,https://doi.org/10.1128/aac.48.1.1-14.2004
Pseudomonas aeruginosa,Meropenem,Reduced permeability,oprD,"Loss or reduced expression of the substrate-specific porin OprD, which normally facilitates carbapenem entry, is the main mechanism of imipenem resistance and decreases meropenem susceptibility",High,Molecular Epidemiology and Mechanisms of Carbapenem Resistance in Pseudomonas aeruginosa,"Rodriguez-Martinez, J. M., Poirel, L., & Nordmann, P.",2009,https://doi.org/10.1128/aac.00574-09
Pseudomonas aeruginosa,Meropenem,Efflux,mexAB-oprM,"In an OprD-deficient background, overexpression of the MexAB-OprM efflux pump is selected as a secondary mechanism that further increases meropenem MICs, while contributing less to imipenem resistance",High,Carbapenem Activities against Pseudomonas aeruginosa: Respective Contributions of OprD and Efflux Systems,"Kohler, T., Michea-Hamzehpour, M., Epp, S. F., & Pechere, J. C.",1999,https://doi.org/10.1128/aac.43.2.424
